Flop,Hand,Weight IP,IP Equity
4s 4h 2d,6c5c,0.095,31.49
4s 4h 2d,7c6c,0.165,19.75
4s 4h 2d,8c7c,0.180,19.43
4s 4h 2d,9c8c,0.144,18.91
4s 4h 2d,Tc9c,0.225,19.63
4s 4h 2d,JcTc,0.180,20.75
4s 4h 2d,QcTc,0.050,23.56
4s 4h 2d,QcJc,0.155,25.26
4s 4h 2d,KcTc,0.050,29.57
4s 4h 2d,KcJc,0.565,31.27
4s 4h 2d,KcQc,0.825,34.32
4s 4h 2d,Ac4c,0.180,94.37
4s 4h 2d,Ac5c,0.515,49.77
4s 4h 2d,Ac8c,0.090,42.02
4s 4h 2d,Ac9c,0.104,42.78
4s 4h 2d,AcTc,0.780,43.99
4s 4h 2d,AcJc,0.775,45.74
4s 4h 2d,AcQc,0.930,48.32
4s 4h 2d,AcKc,0.425,55.98
4s 4h 2d,AcKd,0.487,56.26
4s 4h 2d,AcKh,0.487,55.94
4s 4h 2d,AcKs,0.487,55.94
4s 4h 2d,3d3c,0.138,52.86
4s 4h 2d,4d4c,0.163,99.96
4s 4h 2d,5d5c,0.130,56.64
4s 4h 2d,6d6c,0.330,55.71
4s 4h 2d,6d5d,0.095,34.23
4s 4h 2d,7d7c,0.345,55.26
4s 4h 2d,7d6d,0.165,23.03
4s 4h 2d,8d8c,0.385,55.99
4s 4h 2d,8d7d,0.180,22.75
4s 4h 2d,9d9c,0.420,56.84
4s 4h 2d,9d8d,0.144,22.30
4s 4h 2d,TdTc,0.440,57.38
4s 4h 2d,Td9d,0.225,23.04
4s 4h 2d,JdJc,0.635,59.65
4s 4h 2d,JdTd,0.180,24.15
4s 4h 2d,QdQc,0.870,64.66
4s 4h 2d,QdTd,0.050,26.95
4s 4h 2d,QdJd,0.155,28.58
4s 4h 2d,KdKc,0.442,76.43
4s 4h 2d,KdTd,0.050,32.85
4s 4h 2d,KdJd,0.565,34.51
4s 4h 2d,KdQd,0.825,37.46
4s 4h 2d,AdKc,0.487,56.08
4s 4h 2d,AdAc,0.120,90.93
4s 4h 2d,Ad4d,0.180,94.95
4s 4h 2d,Ad5d,0.515,52.15
4s 4h 2d,Ad8d,0.090,44.78
4s 4h 2d,Ad9d,0.104,45.50
4s 4h 2d,AdTd,0.780,46.65
4s 4h 2d,AdJd,0.775,48.31
4s 4h 2d,AdQd,0.930,50.84
4s 4h 2d,AdKd,0.425,58.15
4s 4h 2d,AdKh,0.487,55.99
4s 4h 2d,AdKs,0.487,55.99
4s 4h 2d,2h2c,0.056,93.61
4s 4h 2d,3h3c,0.138,52.87
4s 4h 2d,3h3d,0.138,52.89
4s 4h 2d,5h5c,0.130,56.41
4s 4h 2d,5h5d,0.130,56.45
4s 4h 2d,6h6c,0.330,55.72
4s 4h 2d,6h6d,0.330,55.78
4s 4h 2d,6h5h,0.095,34.41
4s 4h 2d,7h7c,0.345,55.28
4s 4h 2d,7h7d,0.345,55.33
4s 4h 2d,7h6h,0.165,23.37
4s 4h 2d,8h8c,0.385,56.01
4s 4h 2d,8h8d,0.385,56.06
4s 4h 2d,8h7h,0.180,23.10
4s 4h 2d,9h9c,0.420,56.85
4s 4h 2d,9h9d,0.420,56.90
4s 4h 2d,9h8h,0.144,22.64
4s 4h 2d,ThTc,0.440,57.40
4s 4h 2d,ThTd,0.440,57.50
4s 4h 2d,Th9h,0.225,23.38
4s 4h 2d,JhJc,0.635,59.67
4s 4h 2d,JhJd,0.635,59.75
4s 4h 2d,JhTh,0.180,24.50
4s 4h 2d,QhQc,0.870,64.69
4s 4h 2d,QhQd,0.870,64.82
4s 4h 2d,QhTh,0.050,27.28
4s 4h 2d,QhJh,0.155,28.91
4s 4h 2d,KhKc,0.442,76.03
4s 4h 2d,KhKd,0.442,76.17
4s 4h 2d,KhTh,0.050,32.98
4s 4h 2d,KhJh,0.565,34.64
4s 4h 2d,KhQh,0.825,37.59
4s 4h 2d,AhKc,0.487,56.16
4s 4h 2d,AhAc,0.120,90.79
4s 4h 2d,AhKd,0.487,56.39
4s 4h 2d,AhAd,0.120,90.97
4s 4h 2d,Ah5h,0.515,52.17
4s 4h 2d,Ah8h,0.090,45.05
4s 4h 2d,Ah9h,0.104,45.78
4s 4h 2d,AhTh,0.780,46.94
4s 4h 2d,AhJh,0.775,48.62
4s 4h 2d,AhQh,0.930,51.15
4s 4h 2d,AhKh,0.425,58.22
4s 4h 2d,AhKs,0.487,56.07
4s 4h 2d,2s2c,0.056,93.61
4s 4h 2d,2s2h,0.056,93.61
4s 4h 2d,3s3c,0.138,52.87
4s 4h 2d,3s3d,0.138,52.89
4s 4h 2d,3s3h,0.138,52.89
4s 4h 2d,5s5c,0.130,56.41
4s 4h 2d,5s5d,0.130,56.45
4s 4h 2d,5s5h,0.130,56.22
4s 4h 2d,6s6c,0.330,55.72
4s 4h 2d,6s6d,0.330,55.78
4s 4h 2d,6s6h,0.330,55.79
4s 4h 2d,6s5s,0.095,34.41
4s 4h 2d,7s7c,0.345,55.28
4s 4h 2d,7s7d,0.345,55.33
4s 4h 2d,7s7h,0.345,55.35
4s 4h 2d,7s6s,0.165,23.37
4s 4h 2d,8s8c,0.385,56.01
4s 4h 2d,8s8d,0.385,56.06
4s 4h 2d,8s8h,0.385,56.07
4s 4h 2d,8s7s,0.180,23.10
4s 4h 2d,9s9c,0.420,56.85
4s 4h 2d,9s9d,0.420,56.90
4s 4h 2d,9s9h,0.420,56.91
4s 4h 2d,9s8s,0.144,22.64
4s 4h 2d,TsTc,0.440,57.40
4s 4h 2d,TsTd,0.440,57.50
4s 4h 2d,TsTh,0.440,57.53
4s 4h 2d,Ts9s,0.225,23.38
4s 4h 2d,JsJc,0.635,59.67
4s 4h 2d,JsJd,0.635,59.75
4s 4h 2d,JsJh,0.635,59.77
4s 4h 2d,JsTs,0.180,24.50
4s 4h 2d,QsQc,0.870,64.69
4s 4h 2d,QsQd,0.870,64.82
4s 4h 2d,QsQh,0.870,64.85
4s 4h 2d,QsTs,0.050,27.28
4s 4h 2d,QsJs,0.155,28.91
4s 4h 2d,KsKc,0.442,76.03
4s 4h 2d,KsKd,0.442,76.17
4s 4h 2d,KsKh,0.442,75.77
4s 4h 2d,KsTs,0.050,32.98
4s 4h 2d,KsJs,0.565,34.64
4s 4h 2d,KsQs,0.825,37.59
4s 4h 2d,AsKc,0.487,56.16
4s 4h 2d,AsAc,0.120,90.79
4s 4h 2d,AsKd,0.487,56.39
4s 4h 2d,AsAd,0.120,90.97
4s 4h 2d,AsKh,0.487,56.07
4s 4h 2d,AsAh,0.120,90.84
4s 4h 2d,As5s,0.515,52.17
4s 4h 2d,As8s,0.090,45.05
4s 4h 2d,As9s,0.104,45.78
4s 4h 2d,AsTs,0.780,46.94
4s 4h 2d,AsJs,0.775,48.62
4s 4h 2d,AsQs,0.930,51.15
4s 4h 2d,AsKs,0.425,58.22
5s 3s 2h,6c5c,0.095,59.33
5s 3s 2h,7c6c,0.165,29.63
5s 3s 2h,8c7c,0.180,17.98
5s 3s 2h,9c8c,0.144,18.15
5s 3s 2h,Tc9c,0.225,17.34
5s 3s 2h,JcTc,0.180,18.26
5s 3s 2h,QcTc,0.050,20.54
5s 3s 2h,QcJc,0.155,22.37
5s 3s 2h,KcTc,0.050,25.39
5s 3s 2h,KcJc,0.565,27.26
5s 3s 2h,KcQc,0.825,30.46
5s 3s 2h,Ac4c,0.180,88.25
5s 3s 2h,Ac5c,0.515,59.33
5s 3s 2h,Ac8c,0.090,39.73
5s 3s 2h,Ac9c,0.104,40.51
5s 3s 2h,AcTc,0.780,41.47
5s 3s 2h,AcJc,0.775,42.99
5s 3s 2h,AcQc,0.930,44.79
5s 3s 2h,AcKc,0.425,51.29
5s 3s 2h,AcKd,0.487,51.30
5s 3s 2h,AcKh,0.487,51.55
5s 3s 2h,AcKs,0.487,54.93
5s 3s 2h,2d2c,0.056,85.19
5s 3s 2h,3d3c,0.138,85.28
5s 3s 2h,4d4c,0.163,60.73
5s 3s 2h,5d5c,0.130,85.53
5s 3s 2h,6d6c,0.330,57.98
5s 3s 2h,6d5d,0.095,59.33
5s 3s 2h,7d7c,0.345,48.30
5s 3s 2h,7d6d,0.165,29.63
5s 3s 2h,8d8c,0.385,48.11
5s 3s 2h,8d7d,0.180,17.98
5s 3s 2h,9d9c,0.420,48.95
5s 3s 2h,9d8d,0.144,18.15
5s 3s 2h,TdTc,0.440,49.20
5s 3s 2h,Td9d,0.225,17.34
5s 3s 2h,JdJc,0.635,51.18
5s 3s 2h,JdTd,0.180,18.26
5s 3s 2h,QdQc,0.870,55.42
5s 3s 2h,QdTd,0.050,20.54
5s 3s 2h,QdJd,0.155,22.37
5s 3s 2h,KdKc,0.442,65.67
5s 3s 2h,KdTd,0.050,25.39
5s 3s 2h,KdJd,0.565,27.26
5s 3s 2h,KdQd,0.825,30.46
5s 3s 2h,AdKc,0.487,51.30
5s 3s 2h,AdAc,0.120,82.90
5s 3s 2h,Ad4d,0.180,88.25
5s 3s 2h,Ad5d,0.515,59.33
5s 3s 2h,Ad8d,0.090,39.73
5s 3s 2h,Ad9d,0.104,40.51
5s 3s 2h,AdTd,0.780,41.47
5s 3s 2h,AdJd,0.775,42.99
5s 3s 2h,AdQd,0.930,44.79
5s 3s 2h,AdKd,0.425,51.29
5s 3s 2h,AdKh,0.487,51.55
5s 3s 2h,AdKs,0.487,54.93
5s 3s 2h,3h3c,0.138,85.30
5s 3s 2h,3h3d,0.138,85.30
5s 3s 2h,4h4c,0.163,60.79
5s 3s 2h,4h4d,0.163,60.79
5s 3s 2h,5h5c,0.130,85.58
5s 3s 2h,5h5d,0.130,85.58
5s 3s 2h,6h6c,0.330,58.11
5s 3s 2h,6h6d,0.330,58.11
5s 3s 2h,6h5h,0.095,61.34
5s 3s 2h,7h7c,0.345,48.43
5s 3s 2h,7h7d,0.345,48.43
5s 3s 2h,7h6h,0.165,32.76
5s 3s 2h,8h8c,0.385,48.24
5s 3s 2h,8h8d,0.385,48.24
5s 3s 2h,8h7h,0.180,21.71
5s 3s 2h,9h9c,0.420,49.08
5s 3s 2h,9h9d,0.420,49.08
5s 3s 2h,9h8h,0.144,21.91
5s 3s 2h,ThTc,0.440,49.38
5s 3s 2h,ThTd,0.440,49.38
5s 3s 2h,Th9h,0.225,21.19
5s 3s 2h,JhJc,0.635,51.36
5s 3s 2h,JhJd,0.635,51.36
5s 3s 2h,JhTh,0.180,22.12
5s 3s 2h,QhQc,0.870,55.64
5s 3s 2h,QhQd,0.870,55.64
5s 3s 2h,QhTh,0.050,24.37
5s 3s 2h,QhJh,0.155,26.11
5s 3s 2h,KhKc,0.442,65.93
5s 3s 2h,KhKd,0.442,65.93
5s 3s 2h,KhTh,0.050,29.11
5s 3s 2h,KhJh,0.565,30.93
5s 3s 2h,KhQh,0.825,34.02
5s 3s 2h,AhKc,0.487,51.33
5s 3s 2h,AhAc,0.120,83.18
5s 3s 2h,AhKd,0.487,51.33
5s 3s 2h,AhAd,0.120,83.18
5s 3s 2h,Ah4h,0.180,88.92
5s 3s 2h,Ah5h,0.515,61.85
5s 3s 2h,Ah8h,0.090,42.74
5s 3s 2h,Ah9h,0.104,43.48
5s 3s 2h,AhTh,0.780,44.40
5s 3s 2h,AhJh,0.775,45.86
5s 3s 2h,AhQh,0.930,47.60
5s 3s 2h,AhKh,0.425,53.81
5s 3s 2h,AhKs,0.487,54.97
5s 3s 2h,2s2c,0.056,85.88
5s 3s 2h,2s2d,0.056,85.88
5s 3s 2h,4s4c,0.163,62.06
5s 3s 2h,4s4d,0.163,62.06
5s 3s 2h,4s4h,0.163,62.12
5s 3s 2h,6s6c,0.330,60.14
5s 3s 2h,6s6d,0.330,60.14
5s 3s 2h,6s6h,0.330,60.27
5s 3s 2h,7s7c,0.345,50.83
5s 3s 2h,7s7d,0.345,50.83
5s 3s 2h,7s7h,0.345,50.97
5s 3s 2h,7s6s,0.165,53.49
5s 3s 2h,8s8c,0.385,50.59
5s 3s 2h,8s8d,0.385,50.59
5s 3s 2h,8s8h,0.385,50.72
5s 3s 2h,8s7s,0.180,45.79
5s 3s 2h,9s9c,0.420,51.40
5s 3s 2h,9s9d,0.420,51.40
5s 3s 2h,9s9h,0.420,51.53
5s 3s 2h,9s8s,0.144,46.14
5s 3s 2h,TsTc,0.440,52.06
5s 3s 2h,TsTd,0.440,52.06
5s 3s 2h,TsTh,0.440,52.24
5s 3s 2h,Ts9s,0.225,46.14
5s 3s 2h,JsJc,0.635,53.90
5s 3s 2h,JsJd,0.635,53.90
5s 3s 2h,JsJh,0.635,54.08
5s 3s 2h,JsTs,0.180,47.18
5s 3s 2h,QsQc,0.870,58.51
5s 3s 2h,QsQd,0.870,58.51
5s 3s 2h,QsQh,0.870,58.73
5s 3s 2h,QsTs,0.050,49.30
5s 3s 2h,QsJs,0.155,50.46
5s 3s 2h,KsKc,0.442,69.11
5s 3s 2h,KsKd,0.442,69.11
5s 3s 2h,KsKh,0.442,69.37
5s 3s 2h,KsTs,0.050,53.51
5s 3s 2h,KsJs,0.565,54.89
5s 3s 2h,KsQs,0.825,57.25
5s 3s 2h,AsKc,0.487,55.27
5s 3s 2h,AsAc,0.120,86.50
5s 3s 2h,AsKd,0.487,55.27
5s 3s 2h,AsAd,0.120,86.50
5s 3s 2h,AsKh,0.487,55.52
5s 3s 2h,AsAh,0.120,86.77
5s 3s 2h,As4s,0.180,94.83
5s 3s 2h,As8s,0.090,63.83
5s 3s 2h,As9s,0.104,64.34
5s 3s 2h,AsTs,0.780,65.06
5s 3s 2h,AsJs,0.775,66.09
5s 3s 2h,AsQs,0.930,67.49
5s 3s 2h,AsKs,0.425,71.94
5s 4s 2s,6c5c,0.095,50.84
5s 4s 2s,7c6c,0.165,34.74
5s 4s 2s,8c7c,0.180,24.94
5s 4s 2s,9c8c,0.144,15.61
5s 4s 2s,Tc9c,0.225,14.91
5s 4s 2s,JcTc,0.180,15.61
5s 4s 2s,QcTc,0.050,17.27
5s 4s 2s,QcJc,0.155,18.74
5s 4s 2s,KcTc,0.050,20.71
5s 4s 2s,KcJc,0.565,22.13
5s 4s 2s,KcQc,0.825,24.51
5s 4s 2s,Ac4c,0.180,46.89
5s 4s 2s,Ac5c,0.515,49.68
5s 4s 2s,Ac8c,0.090,33.47
5s 4s 2s,Ac9c,0.104,33.20
5s 4s 2s,AcTc,0.780,33.73
5s 4s 2s,AcJc,0.775,34.99
5s 4s 2s,AcQc,0.930,36.18
5s 4s 2s,AcKc,0.425,41.06
5s 4s 2s,AcKd,0.487,40.98
5s 4s 2s,AcKh,0.487,40.98
5s 4s 2s,AcKs,0.487,61.91
5s 4s 2s,2d2c,0.056,75.77
5s 4s 2s,3d3c,0.138,49.45
5s 4s 2s,4d4c,0.163,75.76
5s 4s 2s,5d5c,0.130,75.93
5s 4s 2s,6d6c,0.330,49.71
5s 4s 2s,6d5d,0.095,50.84
5s 4s 2s,7d7c,0.345,41.84
5s 4s 2s,7d6d,0.165,34.74
5s 4s 2s,8d8c,0.385,41.62
5s 4s 2s,8d7d,0.180,24.94
5s 4s 2s,9d9c,0.420,41.44
5s 4s 2s,9d8d,0.144,15.61
5s 4s 2s,TdTc,0.440,41.22
5s 4s 2s,Td9d,0.225,14.91
5s 4s 2s,JdJc,0.635,42.85
5s 4s 2s,JdTd,0.180,15.61
5s 4s 2s,QdQc,0.870,45.85
5s 4s 2s,QdTd,0.050,17.27
5s 4s 2s,QdJd,0.155,18.74
5s 4s 2s,KdKc,0.442,53.40
5s 4s 2s,KdTd,0.050,20.71
5s 4s 2s,KdJd,0.565,22.13
5s 4s 2s,KdQd,0.825,24.51
5s 4s 2s,AdKc,0.487,40.98
5s 4s 2s,AdAc,0.120,66.90
5s 4s 2s,Ad4d,0.180,46.89
5s 4s 2s,Ad5d,0.515,49.68
5s 4s 2s,Ad8d,0.090,33.47
5s 4s 2s,Ad9d,0.104,33.20
5s 4s 2s,AdTd,0.780,33.73
5s 4s 2s,AdJd,0.775,34.99
5s 4s 2s,AdQd,0.930,36.18
5s 4s 2s,AdKd,0.425,41.06
5s 4s 2s,AdKh,0.487,40.98
5s 4s 2s,AdKs,0.487,61.91
5s 4s 2s,2h2c,0.056,75.77
5s 4s 2s,2h2d,0.056,75.77
5s 4s 2s,3h3c,0.138,49.45
5s 4s 2s,3h3d,0.138,49.45
5s 4s 2s,4h4c,0.163,75.76
5s 4s 2s,4h4d,0.163,75.76
5s 4s 2s,5h5c,0.130,75.93
5s 4s 2s,5h5d,0.130,75.93
5s 4s 2s,6h6c,0.330,49.71
5s 4s 2s,6h6d,0.330,49.71
5s 4s 2s,6h5h,0.095,50.84
5s 4s 2s,7h7c,0.345,41.84
5s 4s 2s,7h7d,0.345,41.84
5s 4s 2s,7h6h,0.165,34.74
5s 4s 2s,8h8c,0.385,41.62
5s 4s 2s,8h8d,0.385,41.62
5s 4s 2s,8h7h,0.180,24.94
5s 4s 2s,9h9c,0.420,41.44
5s 4s 2s,9h9d,0.420,41.44
5s 4s 2s,9h8h,0.144,15.61
5s 4s 2s,ThTc,0.440,41.22
5s 4s 2s,ThTd,0.440,41.22
5s 4s 2s,Th9h,0.225,14.91
5s 4s 2s,JhJc,0.635,42.85
5s 4s 2s,JhJd,0.635,42.85
5s 4s 2s,JhTh,0.180,15.61
5s 4s 2s,QhQc,0.870,45.85
5s 4s 2s,QhQd,0.870,45.85
5s 4s 2s,QhTh,0.050,17.27
5s 4s 2s,QhJh,0.155,18.74
5s 4s 2s,KhKc,0.442,53.40
5s 4s 2s,KhKd,0.442,53.40
5s 4s 2s,KhTh,0.050,20.71
5s 4s 2s,KhJh,0.565,22.13
5s 4s 2s,KhQh,0.825,24.51
5s 4s 2s,AhKc,0.487,40.98
5s 4s 2s,AhAc,0.120,66.90
5s 4s 2s,AhKd,0.487,40.98
5s 4s 2s,AhAd,0.120,66.90
5s 4s 2s,Ah4h,0.180,46.89
5s 4s 2s,Ah5h,0.515,49.68
5s 4s 2s,Ah8h,0.090,33.47
5s 4s 2s,Ah9h,0.104,33.20
5s 4s 2s,AhTh,0.780,33.73
5s 4s 2s,AhJh,0.775,34.99
5s 4s 2s,AhQh,0.930,36.18
5s 4s 2s,AhKh,0.425,41.06
5s 4s 2s,AhKs,0.487,61.91
5s 4s 2s,3s3c,0.138,61.61
5s 4s 2s,3s3d,0.138,61.61
5s 4s 2s,3s3h,0.138,61.61
5s 4s 2s,6s6c,0.330,61.89
5s 4s 2s,6s6d,0.330,61.89
5s 4s 2s,6s6h,0.330,61.89
5s 4s 2s,7s7c,0.345,55.14
5s 4s 2s,7s7d,0.345,55.14
5s 4s 2s,7s7h,0.345,55.14
5s 4s 2s,7s6s,0.165,85.87
5s 4s 2s,8s8c,0.385,55.06
5s 4s 2s,8s8d,0.385,55.06
5s 4s 2s,8s8h,0.385,55.06
5s 4s 2s,8s7s,0.180,84.83
5s 4s 2s,9s9c,0.420,55.15
5s 4s 2s,9s9d,0.420,55.15
5s 4s 2s,9s9h,0.420,55.15
5s 4s 2s,9s8s,0.144,84.06
5s 4s 2s,TsTc,0.440,56.15
5s 4s 2s,TsTd,0.440,56.15
5s 4s 2s,TsTh,0.440,56.15
5s 4s 2s,Ts9s,0.225,85.69
5s 4s 2s,JsJc,0.635,57.54
5s 4s 2s,JsJd,0.635,57.54
5s 4s 2s,JsJh,0.635,57.54
5s 4s 2s,JsTs,0.180,87.14
5s 4s 2s,QsQc,0.870,61.94
5s 4s 2s,QsQd,0.870,61.94
5s 4s 2s,QsQh,0.870,61.94
5s 4s 2s,QsTs,0.050,89.16
5s 4s 2s,QsJs,0.155,88.83
5s 4s 2s,KsKc,0.442,71.56
5s 4s 2s,KsKd,0.442,71.56
5s 4s 2s,KsKh,0.442,71.56
5s 4s 2s,KsTs,0.050,93.29
5s 4s 2s,KsJs,0.565,93.40
5s 4s 2s,KsQs,0.825,93.75
5s 4s 2s,AsKc,0.487,66.23
5s 4s 2s,AsAc,0.120,86.75
5s 4s 2s,AsKd,0.487,66.23
5s 4s 2s,AsAd,0.120,86.75
5s 4s 2s,AsKh,0.487,66.23
5s 4s 2s,AsAh,0.120,86.75
5s 4s 2s,As8s,0.090,98.70
5s 4s 2s,As9s,0.104,98.63
5s 4s 2s,AsTs,0.780,98.61
5s 4s 2s,AsJs,0.775,98.63
5s 4s 2s,AsQs,0.930,98.70
5s 4s 2s,AsKs,0.425,98.72
6s 2s 2h,6c5c,0.095,53.89
6s 2s 2h,7c6c,0.165,54.07
6s 2s 2h,8c7c,0.180,20.14
6s 2s 2h,9c8c,0.144,19.54
6s 2s 2h,Tc9c,0.225,18.77
6s 2s 2h,JcTc,0.180,18.22
6s 2s 2h,QcTc,0.050,20.50
6s 2s 2h,QcJc,0.155,22.03
6s 2s 2h,KcTc,0.050,26.23
6s 2s 2h,KcJc,0.565,27.79
6s 2s 2h,KcQc,0.825,30.58
6s 2s 2h,Ac4c,0.180,38.04
6s 2s 2h,Ac5c,0.515,38.31
6s 2s 2h,Ac8c,0.090,39.01
6s 2s 2h,Ac9c,0.104,39.83
6s 2s 2h,AcTc,0.780,40.93
6s 2s 2h,AcJc,0.775,42.62
6s 2s 2h,AcQc,0.930,45.04
6s 2s 2h,AcKc,0.425,52.02
6s 2s 2h,AcKd,0.487,52.04
6s 2s 2h,AcKh,0.487,52.31
6s 2s 2h,AcKs,0.487,55.72
6s 2s 2h,2d2c,0.056,99.94
6s 2s 2h,3d3c,0.138,51.29
6s 2s 2h,4d4c,0.163,51.15
6s 2s 2h,5d5c,0.130,52.29
6s 2s 2h,6d6c,0.330,97.17
6s 2s 2h,6d5d,0.095,53.89
6s 2s 2h,7d7c,0.345,55.56
6s 2s 2h,7d6d,0.165,54.07
6s 2s 2h,8d8c,0.385,56.12
6s 2s 2h,8d7d,0.180,20.14
6s 2s 2h,9d9c,0.420,57.01
6s 2s 2h,9d8d,0.144,19.54
6s 2s 2h,TdTc,0.440,57.35
6s 2s 2h,Td9d,0.225,18.77
6s 2s 2h,JdJc,0.635,59.49
6s 2s 2h,JdTd,0.180,18.22
6s 2s 2h,QdQc,0.870,64.25
6s 2s 2h,QdTd,0.050,20.50
6s 2s 2h,QdJd,0.155,22.03
6s 2s 2h,KdKc,0.442,74.61
6s 2s 2h,KdTd,0.050,26.23
6s 2s 2h,KdJd,0.565,27.79
6s 2s 2h,KdQd,0.825,30.58
6s 2s 2h,AdKc,0.487,52.04
6s 2s 2h,AdAc,0.120,89.24
6s 2s 2h,Ad4d,0.180,38.04
6s 2s 2h,Ad5d,0.515,38.31
6s 2s 2h,Ad8d,0.090,39.01
6s 2s 2h,Ad9d,0.104,39.83
6s 2s 2h,AdTd,0.780,40.93
6s 2s 2h,AdJd,0.775,42.62
6s 2s 2h,AdQd,0.930,45.04
6s 2s 2h,AdKd,0.425,52.02
6s 2s 2h,AdKh,0.487,52.31
6s 2s 2h,AdKs,0.487,55.72
6s 2s 2h,3h3c,0.138,51.32
6s 2s 2h,3h3d,0.138,51.32
6s 2s 2h,4h4c,0.163,51.20
6s 2s 2h,4h4d,0.163,51.20
6s 2s 2h,5h5c,0.130,52.33
6s 2s 2h,5h5d,0.130,52.33
6s 2s 2h,6h6c,0.330,97.17
6s 2s 2h,6h6d,0.330,97.17
6s 2s 2h,6h5h,0.095,55.94
6s 2s 2h,7h7c,0.345,55.63
6s 2s 2h,7h7d,0.345,55.63
6s 2s 2h,7h6h,0.165,56.13
6s 2s 2h,8h8c,0.385,56.18
6s 2s 2h,8h8d,0.385,56.18
6s 2s 2h,8h7h,0.180,23.70
6s 2s 2h,9h9c,0.420,57.07
6s 2s 2h,9h9d,0.420,57.07
6s 2s 2h,9h8h,0.144,23.18
6s 2s 2h,ThTc,0.440,57.47
6s 2s 2h,ThTd,0.440,57.47
6s 2s 2h,Th9h,0.225,22.50
6s 2s 2h,JhJc,0.635,59.59
6s 2s 2h,JhJd,0.635,59.59
6s 2s 2h,JhTh,0.180,22.05
6s 2s 2h,QhQc,0.870,64.41
6s 2s 2h,QhQd,0.870,64.41
6s 2s 2h,QhTh,0.050,24.31
6s 2s 2h,QhJh,0.155,25.78
6s 2s 2h,KhKc,0.442,74.83
6s 2s 2h,KhKd,0.442,74.83
6s 2s 2h,KhTh,0.050,29.89
6s 2s 2h,KhJh,0.565,31.42
6s 2s 2h,KhQh,0.825,34.14
6s 2s 2h,AhKc,0.487,51.99
6s 2s 2h,AhAc,0.120,88.94
6s 2s 2h,AhKd,0.487,51.99
6s 2s 2h,AhAd,0.120,88.94
6s 2s 2h,Ah4h,0.180,41.00
6s 2s 2h,Ah5h,0.515,41.26
6s 2s 2h,Ah8h,0.090,41.98
6s 2s 2h,Ah9h,0.104,42.75
6s 2s 2h,AhTh,0.780,43.80
6s 2s 2h,AhJh,0.775,45.42
6s 2s 2h,AhQh,0.930,47.76
6s 2s 2h,AhKh,0.425,54.44
6s 2s 2h,AhKs,0.487,55.68
6s 2s 2h,3s3c,0.138,52.99
6s 2s 2h,3s3d,0.138,52.99
6s 2s 2h,3s3h,0.138,53.01
6s 2s 2h,4s4c,0.163,53.01
6s 2s 2h,4s4d,0.163,53.01
6s 2s 2h,4s4h,0.163,53.06
6s 2s 2h,5s5c,0.130,53.67
6s 2s 2h,5s5d,0.130,53.67
6s 2s 2h,5s5h,0.130,53.70
6s 2s 2h,7s7c,0.345,57.35
6s 2s 2h,7s7d,0.345,57.35
6s 2s 2h,7s7h,0.345,57.42
6s 2s 2h,8s8c,0.385,57.79
6s 2s 2h,8s8d,0.385,57.79
6s 2s 2h,8s8h,0.385,57.85
6s 2s 2h,8s7s,0.180,45.56
6s 2s 2h,9s9c,0.420,58.65
6s 2s 2h,9s9d,0.420,58.65
6s 2s 2h,9s9h,0.420,58.71
6s 2s 2h,9s8s,0.144,45.48
6s 2s 2h,TsTc,0.440,59.40
6s 2s 2h,TsTd,0.440,59.40
6s 2s 2h,TsTh,0.440,59.52
6s 2s 2h,Ts9s,0.225,45.49
6s 2s 2h,JsJc,0.635,61.40
6s 2s 2h,JsJd,0.635,61.40
6s 2s 2h,JsJh,0.635,61.51
6s 2s 2h,JsTs,0.180,45.63
6s 2s 2h,QsQc,0.870,66.55
6s 2s 2h,QsQd,0.870,66.55
6s 2s 2h,QsQh,0.870,66.71
6s 2s 2h,QsTs,0.050,47.81
6s 2s 2h,QsJs,0.155,48.77
6s 2s 2h,KsKc,0.442,77.40
6s 2s 2h,KsKd,0.442,77.40
6s 2s 2h,KsKh,0.442,77.62
6s 2s 2h,KsTs,0.050,52.74
6s 2s 2h,KsJs,0.565,53.91
6s 2s 2h,KsQs,0.825,56.09
6s 2s 2h,AsKc,0.487,56.10
6s 2s 2h,AsAc,0.120,91.88
6s 2s 2h,AsKd,0.487,56.10
6s 2s 2h,AsAd,0.120,91.88
6s 2s 2h,AsKh,0.487,56.37
6s 2s 2h,AsAh,0.120,91.59
6s 2s 2h,As4s,0.180,61.50
6s 2s 2h,As5s,0.515,61.50
6s 2s 2h,As8s,0.090,62.27
6s 2s 2h,As9s,0.104,62.79
6s 2s 2h,AsTs,0.780,63.57
6s 2s 2h,AsJs,0.775,64.72
6s 2s 2h,AsQs,0.930,66.60
6s 2s 2h,AsKs,0.425,71.47
6s 4h 3d,6c5c,0.095,68.73
6s 4h 3d,7c6c,0.165,64.08
6s 4h 3d,8c7c,0.180,30.95
6s 4h 3d,9c8c,0.144,19.81
6s 4h 3d,Tc9c,0.225,19.65
6s 4h 3d,JcTc,0.180,19.14
6s 4h 3d,QcTc,0.050,21.41
6s 4h 3d,QcJc,0.155,23.41
6s 4h 3d,KcTc,0.050,25.77
6s 4h 3d,KcJc,0.565,27.77
6s 4h 3d,KcQc,0.825,31.06
6s 4h 3d,Ac4c,0.180,57.75
