Flop,Hand,Weight IP,IP Equity,BET 100% freq,BET 60% freq,BET 31.1% freq,CHECK freq
4s 4h 2d,5c4c,0.095,94.92,0.37,1.26,98.32,0.05
4s 4h 2d,6c5c,0.205,34.16,0.21,0.63,96.74,2.41
4s 4h 2d,7c6c,0.165,23.48,0.19,0.24,1.65,97.93
4s 4h 2d,8c7c,0.180,24.35,0.20,0.26,1.95,97.58
4s 4h 2d,9c7c,0.010,25.10,0.34,0.51,99.01,0.14
4s 4h 2d,9c8c,0.375,25.72,0.33,0.48,56.27,42.92
4s 4h 2d,Tc8c,0.440,28.47,0.32,0.41,43.34,55.92
4s 4h 2d,Tc9c,1.000,29.29,0.34,0.46,52.74,46.46
4s 4h 2d,Jc9c,1.000,33.44,0.37,0.54,34.55,64.54
4s 4h 2d,JcTc,1.000,34.62,0.35,0.55,50.85,48.24
4s 4h 2d,Qc8c,0.035,38.26,0.34,0.44,24.68,74.54
4s 4h 2d,Qc9c,1.000,38.73,0.36,0.53,55.56,43.55
4s 4h 2d,QcTc,1.000,39.89,0.34,0.55,57.51,41.60
4s 4h 2d,QcJc,1.000,41.84,0.36,0.60,48.14,50.90
4s 4h 2d,QcJd,0.350,41.98,0.40,1.19,64.57,33.84
4s 4h 2d,QcJh,0.350,41.91,0.39,0.52,58.68,40.41
4s 4h 2d,QcJs,0.350,41.91,0.39,0.52,58.68,40.41
4s 4h 2d,Kc5c,0.205,45.27,0.43,1.79,47.11,50.67
4s 4h 2d,Kc6c,0.465,45.07,0.38,0.74,49.34,49.54
4s 4h 2d,Kc7c,0.585,44.57,0.39,0.52,70.28,28.82
4s 4h 2d,Kc8c,0.790,45.08,0.37,0.48,70.16,28.99
4s 4h 2d,Kc9c,1.000,45.79,0.37,0.56,76.95,22.12
4s 4h 2d,KcTc,1.000,47.26,0.33,0.45,42.45,56.76
4s 4h 2d,KcJc,1.000,49.18,0.37,0.48,30.71,68.45
4s 4h 2d,KcQc,1.000,50.86,0.31,0.40,40.61,58.67
4s 4h 2d,KcTd,0.050,47.40,0.30,0.40,96.95,2.36
4s 4h 2d,KcJd,0.615,49.30,0.40,0.54,33.44,65.63
4s 4h 2d,KcQd,1.000,50.95,0.32,0.41,31.04,68.22
4s 4h 2d,KcTh,0.050,47.38,0.30,0.40,97.36,1.94
4s 4h 2d,KcJh,0.615,49.23,0.39,0.48,35.70,63.44
4s 4h 2d,KcQh,1.000,50.91,0.31,0.39,25.25,74.05
4s 4h 2d,KcTs,0.050,47.38,0.30,0.40,97.36,1.94
4s 4h 2d,KcJs,0.615,49.23,0.39,0.48,35.70,63.44
4s 4h 2d,KcQs,1.000,50.91,0.31,0.39,25.25,74.05
4s 4h 2d,Ac3c,1.000,59.96,0.23,0.51,60.52,38.73
4s 4h 2d,Ac4c,1.000,94.84,1.29,1.25,97.42,0.04
4s 4h 2d,Ac5c,1.000,60.13,0.22,0.53,58.65,40.61
4s 4h 2d,Ac6c,1.000,54.45,0.41,0.59,85.79,13.21
4s 4h 2d,Ac7c,1.000,54.67,0.36,0.42,95.10,4.12
4s 4h 2d,Ac8c,1.000,55.45,0.31,0.38,71.01,28.30
4s 4h 2d,Ac9c,1.000,56.80,0.24,0.30,33.94,65.52
4s 4h 2d,AcTc,1.000,58.79,0.20,0.24,7.51,92.05
4s 4h 2d,AcJc,1.000,60.77,0.18,0.21,49.01,50.60
4s 4h 2d,AcQc,1.000,62.59,0.16,0.22,61.76,37.87
4s 4h 2d,AcKc,1.000,63.72,0.16,0.24,61.82,37.77
4s 4h 2d,AcTd,0.755,58.94,0.20,0.24,19.40,80.16
4s 4h 2d,AcJd,1.000,60.89,0.17,0.21,25.87,73.75
4s 4h 2d,AcQd,1.000,62.64,0.15,0.21,49.73,49.91
4s 4h 2d,AcKd,1.000,63.78,0.16,0.23,58.02,41.59
4s 4h 2d,AcTh,0.755,58.91,0.20,0.25,14.91,84.64
4s 4h 2d,AcJh,1.000,60.80,0.17,0.20,20.37,79.26
4s 4h 2d,AcQh,1.000,62.60,0.14,0.20,32.00,67.67
4s 4h 2d,AcKh,1.000,63.78,0.15,0.22,42.96,56.68
4s 4h 2d,AcTs,0.755,58.91,0.20,0.25,14.91,84.65
4s 4h 2d,AcJs,1.000,60.80,0.17,0.20,20.39,79.24
4s 4h 2d,AcQs,1.000,62.60,0.14,0.20,32.01,67.66
4s 4h 2d,AcKs,1.000,63.78,0.15,0.22,42.96,56.68
4s 4h 2d,3d3c,0.325,61.16,0.20,0.47,68.45,30.89
4s 4h 2d,4d4c,0.355,99.98,0.02,0.38,99.56,0.04
4s 4h 2d,5d5c,0.930,67.13,0.17,0.39,54.06,45.39
4s 4h 2d,5d4d,0.095,94.96,1.01,1.77,97.19,0.03
4s 4h 2d,6d6c,1.000,68.52,0.26,0.31,60.84,38.59
4s 4h 2d,6d5d,0.205,37.07,0.28,0.77,98.26,0.70
4s 4h 2d,7d7c,1.000,69.94,0.25,0.33,63.17,36.26
4s 4h 2d,7d6d,0.165,26.94,0.19,0.24,0.88,98.68
4s 4h 2d,8d8c,1.000,72.38,0.19,0.38,60.12,39.31
4s 4h 2d,8d7d,0.180,27.82,0.21,0.26,1.90,97.63
4s 4h 2d,9d9c,1.000,75.03,0.14,0.42,54.14,45.30
4s 4h 2d,9d7d,0.010,28.55,0.19,0.24,98.14,1.43
4s 4h 2d,9d8d,0.375,29.15,0.25,0.31,93.42,6.03
4s 4h 2d,TdTc,1.000,78.64,0.22,0.43,55.64,43.72
4s 4h 2d,Td8d,0.440,31.80,0.25,0.32,58.26,41.16
4s 4h 2d,Td9d,1.000,32.57,0.26,0.33,72.74,26.66
4s 4h 2d,JdJc,1.000,82.40,0.35,0.52,70.19,28.94
4s 4h 2d,Jd9d,1.000,36.59,0.29,0.37,26.71,72.63
4s 4h 2d,JdTd,1.000,37.70,0.29,0.39,39.69,59.63
4s 4h 2d,QdJc,0.350,41.94,0.38,0.64,78.79,20.19
4s 4h 2d,QdQc,1.000,85.19,0.47,0.58,74.95,24.00
4s 4h 2d,Qd8d,0.035,41.21,0.24,0.30,1.66,97.80
4s 4h 2d,Qd9d,1.000,41.65,0.27,0.33,30.51,68.89
4s 4h 2d,QdTd,1.000,42.77,0.27,0.33,35.01,64.39
4s 4h 2d,QdJd,1.000,44.61,0.31,0.40,42.05,57.23
4s 4h 2d,QdJh,0.350,42.01,0.41,0.53,97.08,1.98
4s 4h 2d,QdJs,0.350,42.01,0.41,0.53,97.06,1.99
4s 4h 2d,KdTc,0.050,47.33,0.30,0.41,98.69,0.59
4s 4h 2d,KdJc,0.615,49.25,0.37,0.49,77.69,21.46
4s 4h 2d,KdQc,1.000,50.94,0.32,0.41,45.53,53.74
4s 4h 2d,KdKc,1.000,87.15,0.44,0.53,67.02,32.01
4s 4h 2d,Kd5d,0.205,47.80,0.28,0.35,45.67,53.70
4s 4h 2d,Kd6d,0.465,47.70,0.28,0.35,16.66,82.71
4s 4h 2d,Kd7d,0.585,47.26,0.27,0.33,36.69,62.71
4s 4h 2d,Kd8d,0.790,47.75,0.26,0.31,23.30,76.13
4s 4h 2d,Kd9d,1.000,48.41,0.26,0.31,34.89,64.54
4s 4h 2d,KdTd,1.000,49.84,0.24,0.30,22.23,77.23
4s 4h 2d,KdJd,1.000,51.64,0.28,0.35,43.84,55.53
4s 4h 2d,KdQd,1.000,53.19,0.25,0.32,35.56,63.87
4s 4h 2d,KdTh,0.050,47.45,0.29,0.38,98.93,0.41
4s 4h 2d,KdJh,0.615,49.30,0.39,0.49,92.88,6.25
4s 4h 2d,KdQh,1.000,50.99,0.30,0.39,77.49,21.81
4s 4h 2d,KdTs,0.050,47.45,0.29,0.38,98.93,0.41
4s 4h 2d,KdJs,0.615,49.30,0.39,0.49,92.87,6.26
4s 4h 2d,KdQs,1.000,50.99,0.30,0.39,77.49,21.81
4s 4h 2d,AdTc,0.755,58.86,0.24,0.29,46.36,53.11
4s 4h 2d,AdJc,1.000,60.84,0.19,0.23,37.55,62.03
4s 4h 2d,AdQc,1.000,62.65,0.16,0.22,62.96,36.66
4s 4h 2d,AdKc,1.000,63.79,0.16,0.24,74.47,25.13
4s 4h 2d,AdAc,1.000,90.55,0.21,0.25,50.97,48.57
4s 4h 2d,Ad3d,1.000,61.84,0.21,0.56,74.19,25.05
4s 4h 2d,Ad4d,1.000,95.14,1.23,1.14,97.59,0.04
4s 4h 2d,Ad5d,1.000,62.02,0.24,0.52,56.95,42.29
4s 4h 2d,Ad6d,1.000,56.69,0.32,0.40,37.09,62.18
4s 4h 2d,Ad7d,1.000,56.92,0.28,0.34,37.24,62.14
4s 4h 2d,Ad8d,1.000,57.68,0.24,0.29,15.57,83.90
4s 4h 2d,Ad9d,1.000,58.95,0.18,0.23,3.41,96.18
4s 4h 2d,AdTd,1.000,60.86,0.16,0.20,3.93,95.72
4s 4h 2d,AdJd,1.000,62.71,0.15,0.20,35.24,64.41
4s 4h 2d,AdQd,1.000,64.38,0.15,0.21,35.49,64.15
4s 4h 2d,AdKd,1.000,65.45,0.16,0.22,31.12,68.50
4s 4h 2d,AdTh,0.755,58.97,0.24,0.30,59.47,40.00
4s 4h 2d,AdJh,1.000,60.87,0.19,0.23,45.92,53.66
4s 4h 2d,AdQh,1.000,62.67,0.15,0.20,52.52,47.13
4s 4h 2d,AdKh,1.000,63.86,0.15,0.22,50.71,48.93
4s 4h 2d,AdTs,0.755,58.97,0.24,0.30,59.46,40.01
4s 4h 2d,AdJs,1.000,60.87,0.19,0.23,45.92,53.66
4s 4h 2d,AdQs,1.000,62.67,0.15,0.20,52.52,47.13
4s 4h 2d,AdKs,1.000,63.86,0.15,0.22,50.69,48.94
4s 4h 2d,2h2c,0.355,95.18,0.76,0.80,98.42,0.02
4s 4h 2d,3h3c,0.325,60.98,0.20,0.40,57.11,42.29
4s 4h 2d,3h3d,0.325,61.09,0.20,0.39,50.28,49.13
4s 4h 2d,5h5c,0.930,67.04,0.15,0.36,50.09,49.39
4s 4h 2d,5h5d,0.930,67.17,0.15,0.37,44.95,54.53
4s 4h 2d,6h6c,1.000,68.39,0.17,0.39,55.31,44.13
4s 4h 2d,6h6d,1.000,68.46,0.17,0.36,52.04,47.43
4s 4h 2d,6h5h,0.205,37.16,0.24,0.75,98.29,0.73
4s 4h 2d,7h7c,1.000,69.80,0.16,0.37,54.86,44.61
4s 4h 2d,7h7d,1.000,69.87,0.14,0.39,47.75,51.73
4s 4h 2d,7h6h,0.165,27.04,0.17,0.22,0.75,98.85
4s 4h 2d,8h8c,1.000,72.30,0.17,0.38,54.66,44.79
4s 4h 2d,8h8d,1.000,72.37,0.15,0.39,46.65,52.81
4s 4h 2d,8h7h,0.180,27.93,0.18,0.23,0.86,98.72
4s 4h 2d,9h9c,1.000,75.04,0.14,0.42,51.44,48.00
4s 4h 2d,9h9d,1.000,75.13,0.14,0.42,43.44,56.00
4s 4h 2d,9h7h,0.010,28.71,0.17,0.21,98.29,1.33
4s 4h 2d,9h8h,0.375,29.33,0.21,0.27,97.55,1.98
4s 4h 2d,ThTc,1.000,78.58,0.20,0.38,48.71,50.71
4s 4h 2d,ThTd,1.000,78.65,0.20,0.36,42.48,56.96
4s 4h 2d,Th8h,0.440,31.95,0.24,0.31,64.56,34.89
4s 4h 2d,Th9h,1.000,32.77,0.26,0.33,73.36,26.05
4s 4h 2d,JhJc,1.000,82.21,0.27,0.38,50.79,48.57
4s 4h 2d,JhJd,1.000,82.30,0.26,0.36,45.86,53.53
4s 4h 2d,Jh9h,1.000,36.75,0.28,0.35,28.47,70.90
4s 4h 2d,JhTh,1.000,37.84,0.29,0.37,35.31,64.04
4s 4h 2d,QhJc,0.350,41.91,0.36,0.47,66.56,32.60
4s 4h 2d,QhQc,1.000,85.00,0.33,0.39,50.65,48.63
4s 4h 2d,QhJd,0.350,42.03,0.40,0.51,94.73,4.36
4s 4h 2d,QhQd,1.000,85.09,0.33,0.39,46.59,52.69
4s 4h 2d,Qh8h,0.035,41.33,0.21,0.26,1.64,97.89
4s 4h 2d,Qh9h,1.000,41.84,0.25,0.31,27.91,71.53
4s 4h 2d,QhTh,1.000,42.92,0.25,0.31,28.99,70.44
4s 4h 2d,QhJh,1.000,44.73,0.27,0.33,31.03,68.37
4s 4h 2d,QhJs,0.350,41.97,0.38,0.47,93.64,5.51
4s 4h 2d,KhTc,0.050,47.34,0.29,0.40,98.84,0.46
4s 4h 2d,KhJc,0.615,49.26,0.36,0.46,76.97,22.22
4s 4h 2d,KhQc,1.000,50.94,0.30,0.39,50.81,48.50
4s 4h 2d,KhKc,1.000,87.03,0.31,0.36,47.30,52.03
4s 4h 2d,KhTd,0.050,47.48,0.28,0.37,98.97,0.38
4s 4h 2d,KhJd,0.615,49.38,0.38,0.68,96.00,2.94
4s 4h 2d,KhQd,1.000,51.03,0.31,0.41,79.77,19.51
4s 4h 2d,KhKd,1.000,87.11,0.29,0.34,41.17,58.20
4s 4h 2d,Kh5h,0.205,48.01,0.25,0.32,29.06,70.37
4s 4h 2d,Kh6h,0.465,47.80,0.26,0.32,17.53,81.89
4s 4h 2d,Kh7h,0.585,47.36,0.24,0.30,31.87,67.59
4s 4h 2d,Kh8h,0.790,47.89,0.24,0.29,22.69,76.79
4s 4h 2d,Kh9h,1.000,48.64,0.24,0.30,41.70,57.76
4s 4h 2d,KhTh,1.000,50.01,0.23,0.30,23.47,76.00
4s 4h 2d,KhJh,1.000,51.78,0.25,0.30,33.19,66.26
4s 4h 2d,KhQh,1.000,53.39,0.22,0.28,21.51,77.99
4s 4h 2d,KhTs,0.050,47.45,0.28,0.37,98.99,0.37
4s 4h 2d,KhJs,0.615,49.31,0.37,0.47,93.02,6.15
4s 4h 2d,KhQs,1.000,50.99,0.30,0.38,80.27,19.05
4s 4h 2d,AhTc,0.755,58.82,0.17,0.21,23.78,75.83
4s 4h 2d,AhJc,1.000,60.80,0.16,0.18,21.43,78.23
4s 4h 2d,AhQc,1.000,62.60,0.13,0.18,30.61,69.07
4s 4h 2d,AhKc,1.000,63.74,0.14,0.21,55.15,44.51
4s 4h 2d,AhAc,1.000,90.39,0.21,0.28,42.94,56.57
4s 4h 2d,AhTd,0.755,58.97,0.18,0.22,43.57,56.03
4s 4h 2d,AhJd,1.000,60.92,0.16,0.19,34.17,65.49
4s 4h 2d,AhQd,1.000,62.67,0.13,0.18,43.66,56.03
4s 4h 2d,AhKd,1.000,63.81,0.13,0.20,50.11,49.56
4s 4h 2d,AhAd,1.000,90.45,0.19,0.23,32.14,67.44
4s 4h 2d,Ah3h,1.000,61.89,0.17,0.43,69.16,30.24
4s 4h 2d,Ah5h,1.000,62.14,0.18,0.45,47.86,51.51
4s 4h 2d,Ah6h,1.000,56.69,0.21,0.26,13.48,86.04
4s 4h 2d,Ah7h,1.000,56.93,0.19,0.23,10.82,88.76
4s 4h 2d,Ah8h,1.000,57.73,0.16,0.20,5.49,94.14
4s 4h 2d,Ah9h,1.000,59.12,0.14,0.18,4.08,95.60
4s 4h 2d,AhTh,1.000,60.96,0.12,0.16,5.91,93.81
4s 4h 2d,AhJh,1.000,62.78,0.12,0.16,32.83,66.89
4s 4h 2d,AhQh,1.000,64.52,0.12,0.18,43.60,56.09
4s 4h 2d,AhKh,1.000,65.65,0.14,0.20,44.21,55.45
4s 4h 2d,AhTs,0.755,58.93,0.18,0.22,39.98,59.62
4s 4h 2d,AhJs,1.000,60.83,0.15,0.19,29.94,69.72
4s 4h 2d,AhQs,1.000,62.63,0.13,0.18,36.03,63.67
4s 4h 2d,AhKs,1.000,63.82,0.13,0.19,37.09,62.59
4s 4h 2d,2s2c,0.355,95.18,0.76,0.80,98.42,0.02
4s 4h 2d,2s2h,0.355,94.96,0.70,0.83,98.44,0.02
4s 4h 2d,3s3c,0.325,60.98,0.20,0.40,57.11,42.29
4s 4h 2d,3s3d,0.325,61.09,0.20,0.39,50.28,49.14
4s 4h 2d,3s3h,0.325,60.90,0.19,0.35,46.82,52.65
4s 4h 2d,5s5c,0.930,67.04,0.15,0.36,50.10,49.39
4s 4h 2d,5s5d,0.930,67.17,0.15,0.37,44.95,54.53
4s 4h 2d,5s5h,0.930,67.08,0.14,0.35,40.95,58.56
4s 4h 2d,6s6c,1.000,68.39,0.17,0.39,55.31,44.13
4s 4h 2d,6s6d,1.000,68.46,0.17,0.36,52.04,47.43
4s 4h 2d,6s6h,1.000,68.33,0.15,0.36,46.33,53.16
4s 4h 2d,6s5s,0.205,37.16,0.24,0.75,98.29,0.73
4s 4h 2d,7s7c,1.000,69.80,0.16,0.37,54.86,44.61
4s 4h 2d,7s7d,1.000,69.87,0.14,0.39,47.75,51.73
4s 4h 2d,7s7h,1.000,69.73,0.10,0.41,41.86,57.64
4s 4h 2d,7s6s,0.165,27.04,0.17,0.22,0.75,98.85
4s 4h 2d,8s8c,1.000,72.30,0.17,0.38,54.67,44.78
4s 4h 2d,8s8d,1.000,72.37,0.15,0.39,46.64,52.82
4s 4h 2d,8s8h,1.000,72.29,0.14,0.39,42.15,57.32
4s 4h 2d,8s7s,0.180,27.93,0.18,0.23,0.86,98.72
4s 4h 2d,9s9c,1.000,75.04,0.14,0.42,51.43,48.01
4s 4h 2d,9s9d,1.000,75.13,0.14,0.42,43.44,56.00
4s 4h 2d,9s9h,1.000,75.14,0.14,0.42,40.91,58.53
4s 4h 2d,9s7s,0.010,28.71,0.17,0.21,98.29,1.33
4s 4h 2d,9s8s,0.375,29.33,0.21,0.27,97.55,1.98
4s 4h 2d,TsTc,1.000,78.58,0.20,0.38,48.70,50.72
4s 4h 2d,TsTd,1.000,78.65,0.20,0.36,42.48,56.96
4s 4h 2d,TsTh,1.000,78.58,0.20,0.33,37.20,62.27
4s 4h 2d,Ts8s,0.440,31.95,0.24,0.31,64.56,34.89
4s 4h 2d,Ts9s,1.000,32.77,0.26,0.33,73.35,26.06
4s 4h 2d,JsJc,1.000,82.21,0.27,0.38,50.76,48.59
4s 4h 2d,JsJd,1.000,82.30,0.26,0.36,45.86,53.53
4s 4h 2d,JsJh,1.000,82.11,0.23,0.29,34.79,64.68
4s 4h 2d,Js9s,1.000,36.75,0.28,0.35,28.46,70.91
4s 4h 2d,JsTs,1.000,37.84,0.29,0.37,35.30,64.05
4s 4h 2d,QsJc,0.350,41.91,0.36,0.47,66.57,32.60
4s 4h 2d,QsQc,1.000,85.00,0.33,0.39,50.65,48.62
4s 4h 2d,QsJd,0.350,42.03,0.40,0.51,94.74,4.35
4s 4h 2d,QsQd,1.000,85.09,0.33,0.39,46.57,52.72
4s 4h 2d,QsJh,0.350,41.97,0.38,0.47,93.66,5.49
4s 4h 2d,QsQh,1.000,84.90,0.26,0.32,31.45,67.97
4s 4h 2d,Qs8s,0.035,41.33,0.21,0.26,1.64,97.89
4s 4h 2d,Qs9s,1.000,41.84,0.25,0.31,27.91,71.53
4s 4h 2d,QsTs,1.000,42.92,0.25,0.31,28.98,70.45
4s 4h 2d,QsJs,1.000,44.73,0.27,0.33,31.03,68.37
4s 4h 2d,KsTc,0.050,47.34,0.29,0.40,98.84,0.46
4s 4h 2d,KsJc,0.615,49.26,0.36,0.46,76.97,22.21
4s 4h 2d,KsQc,1.000,50.94,0.30,0.39,50.80,48.50
4s 4h 2d,KsKc,1.000,87.03,0.31,0.36,47.31,52.02
4s 4h 2d,KsTd,0.050,47.48,0.28,0.37,98.97,0.38
4s 4h 2d,KsJd,0.615,49.38,0.38,0.68,96.00,2.94
4s 4h 2d,KsQd,1.000,51.03,0.31,0.41,79.77,19.52
4s 4h 2d,KsKd,1.000,87.11,0.29,0.34,41.16,58.21
4s 4h 2d,KsTh,0.050,47.45,0.28,0.37,98.99,0.37
4s 4h 2d,KsJh,0.615,49.31,0.37,0.47,93.01,6.15
4s 4h 2d,KsQh,1.000,50.99,0.30,0.38,80.26,19.06
4s 4h 2d,KsKh,1.000,86.98,0.23,0.27,32.86,66.64
4s 4h 2d,Ks5s,0.205,48.01,0.25,0.32,29.06,70.37
4s 4h 2d,Ks6s,0.465,47.80,0.26,0.32,17.52,81.90
4s 4h 2d,Ks7s,0.585,47.36,0.24,0.30,31.86,67.60
4s 4h 2d,Ks8s,0.790,47.89,0.24,0.29,22.68,76.79
4s 4h 2d,Ks9s,1.000,48.64,0.24,0.30,41.70,57.76
4s 4h 2d,KsTs,1.000,50.01,0.23,0.30,23.47,76.00
4s 4h 2d,KsJs,1.000,51.78,0.25,0.30,33.19,66.27
4s 4h 2d,KsQs,1.000,53.39,0.22,0.28,21.51,77.99
4s 4h 2d,AsTc,0.755,58.82,0.17,0.21,23.80,75.81
4s 4h 2d,AsJc,1.000,60.80,0.16,0.18,21.46,78.20
4s 4h 2d,AsQc,1.000,62.60,0.13,0.18,30.62,69.06
4s 4h 2d,AsKc,1.000,63.74,0.14,0.21,55.10,44.55
4s 4h 2d,AsAc,1.000,90.39,0.21,0.28,42.92,56.59
4s 4h 2d,AsTd,0.755,58.97,0.18,0.22,43.57,56.03
4s 4h 2d,AsJd,1.000,60.92,0.16,0.19,34.17,65.49
4s 4h 2d,AsQd,1.000,62.67,0.13,0.18,43.69,56.00
4s 4h 2d,AsKd,1.000,63.81,0.13,0.20,50.10,49.57
4s 4h 2d,AsAd,1.000,90.45,0.19,0.23,32.14,67.44
4s 4h 2d,AsTh,0.755,58.93,0.18,0.22,40.00,59.61
4s 4h 2d,AsJh,1.000,60.83,0.15,0.19,29.98,69.68
4s 4h 2d,AsQh,1.000,62.63,0.13,0.18,36.07,63.63
4s 4h 2d,AsKh,1.000,63.82,0.13,0.19,37.09,62.59
4s 4h 2d,AsAh,1.000,90.30,0.28,0.44,57.52,41.76
4s 4h 2d,As3s,1.000,61.89,0.17,0.43,69.15,30.25
4s 4h 2d,As5s,1.000,62.14,0.18,0.45,47.87,51.50
4s 4h 2d,As6s,1.000,56.69,0.21,0.26,13.51,86.02
4s 4h 2d,As7s,1.000,56.93,0.19,0.23,10.82,88.76
4s 4h 2d,As8s,1.000,57.73,0.16,0.20,5.44,94.19
4s 4h 2d,As9s,1.000,59.12,0.14,0.18,4.04,95.65
4s 4h 2d,AsTs,1.000,60.96,0.12,0.16,5.88,93.84
4s 4h 2d,AsJs,1.000,62.78,0.12,0.16,32.83,66.90
4s 4h 2d,AsQs,1.000,64.52,0.12,0.18,43.58,56.12
4s 4h 2d,AsKs,1.000,65.65,0.14,0.20,44.18,55.48
5s 3s 2h,5c4c,0.095,68.24,0.64,0.84,50.82,47.69
5s 3s 2h,6c5c,0.205,65.22,0.86,1.19,29.36,68.59
5s 3s 2h,7c6c,0.165,31.11,0.29,0.92,60.16,38.63
5s 3s 2h,8c7c,0.180,21.18,0.11,0.27,0.54,99.07
5s 3s 2h,9c7c,0.010,22.49,0.12,0.29,0.57,99.02
5s 3s 2h,9c8c,0.375,22.73,0.28,0.68,1.63,97.41
5s 3s 2h,Tc8c,0.440,23.19,0.72,1.69,46.22,51.37
5s 3s 2h,Tc9c,1.000,24.36,0.73,1.68,50.88,46.71
5s 3s 2h,Jc9c,1.000,27.55,0.81,1.80,41.19,56.20
5s 3s 2h,JcTc,1.000,28.74,0.83,1.69,55.88,41.61
5s 3s 2h,Qc8c,0.035,31.14,0.90,2.00,35.98,61.12
5s 3s 2h,Qc9c,1.000,31.65,0.96,2.08,48.57,48.39
5s 3s 2h,QcTc,1.000,32.81,0.88,1.74,47.55,49.83
5s 3s 2h,QcJc,1.000,34.93,0.91,1.77,45.63,51.68
5s 3s 2h,QcJd,0.350,34.95,0.92,1.78,52.53,44.77
5s 3s 2h,QcJh,0.350,35.08,1.29,2.54,53.75,42.42
5s 3s 2h,QcJs,0.350,38.49,2.42,8.66,36.80,52.12
5s 3s 2h,Kc5c,0.205,59.67,0.44,1.67,59.70,38.19
5s 3s 2h,Kc6c,0.465,44.68,0.56,0.94,27.50,71.00
5s 3s 2h,Kc7c,0.585,36.59,1.60,3.64,59.38,35.38
5s 3s 2h,Kc8c,0.790,36.45,1.30,2.87,52.42,43.40
5s 3s 2h,Kc9c,1.000,37.31,1.23,2.65,50.43,45.69
5s 3s 2h,KcTc,1.000,38.85,0.92,1.78,20.94,76.36
5s 3s 2h,KcJc,1.000,40.94,0.87,1.70,39.26,58.18
5s 3s 2h,KcQc,1.000,42.73,0.66,1.30,23.84,74.20
5s 3s 2h,KcTd,0.050,38.87,0.91,1.76,7.10,90.23
5s 3s 2h,KcJd,0.615,40.94,0.87,1.68,31.26,66.19
5s 3s 2h,KcQd,1.000,42.72,0.66,1.30,16.31,81.74
5s 3s 2h,KcTh,0.050,39.02,0.95,1.83,6.67,90.55
5s 3s 2h,KcJh,0.615,41.06,1.36,2.68,42.76,53.20
5s 3s 2h,KcQh,1.000,42.81,0.89,1.82,40.74,56.55
5s 3s 2h,KcTs,0.050,42.15,1.82,7.76,25.67,64.75
5s 3s 2h,KcJs,0.615,44.33,2.18,4.59,30.74,62.49
5s 3s 2h,KcQs,1.000,46.19,1.89,3.37,37.56,57.18
5s 3s 2h,Ac3c,1.000,60.05,0.68,1.69,47.92,49.72
5s 3s 2h,Ac4c,1.000,87.79,3.87,7.27,80.63,8.22
5s 3s 2h,Ac5c,1.000,65.02,1.86,5.29,68.53,24.33
5s 3s 2h,Ac6c,1.000,50.25,0.33,0.79,21.30,77.59
5s 3s 2h,Ac7c,1.000,48.89,0.78,1.84,27.25,70.13
5s 3s 2h,Ac8c,1.000,49.02,0.72,1.68,72.71,24.88
5s 3s 2h,Ac9c,1.000,50.52,0.46,1.12,25.43,73.00
5s 3s 2h,AcTc,1.000,52.33,0.32,0.72,1.11,97.85
5s 3s 2h,AcJc,1.000,54.13,0.31,0.69,17.03,81.97
5s 3s 2h,AcQc,1.000,55.79,0.29,0.71,33.59,65.41
5s 3s 2h,AcKc,1.000,56.84,0.23,0.94,26.60,72.23
5s 3s 2h,AcTd,0.755,52.33,0.32,0.72,1.11,97.85
5s 3s 2h,AcJd,1.000,54.12,0.32,0.70,18.78,80.21
5s 3s 2h,AcQd,1.000,55.78,0.30,0.73,33.99,64.98
5s 3s 2h,AcKd,1.000,56.84,0.23,0.95,27.11,71.70
5s 3s 2h,AcTh,0.755,52.49,0.35,0.79,12.02,86.84
5s 3s 2h,AcJh,1.000,54.26,0.37,0.82,31.05,67.76
5s 3s 2h,AcQh,1.000,55.88,0.36,0.92,40.21,58.51
5s 3s 2h,AcKh,1.000,56.93,0.26,1.08,35.19,63.47
5s 3s 2h,AcTs,0.755,55.28,0.41,0.85,8.12,90.63
5s 3s 2h,AcJs,1.000,57.21,0.39,0.82,19.21,79.58
5s 3s 2h,AcQs,1.000,58.94,0.34,1.22,26.19,72.25
5s 3s 2h,AcKs,1.000,60.14,0.37,1.31,52.86,45.46
5s 3s 2h,2d2c,0.355,85.81,1.97,5.29,60.27,32.46
5s 3s 2h,3d3c,0.325,86.57,2.42,4.29,74.16,19.14
5s 3s 2h,4d4c,0.355,66.68,0.67,1.54,51.09,46.70
5s 3s 2h,5d5c,0.930,87.41,3.31,4.33,72.79,19.57
5s 3s 2h,5d4d,0.095,68.24,0.64,0.84,50.82,47.69
5s 3s 2h,6d6c,1.000,66.53,1.73,3.90,79.72,14.65
5s 3s 2h,6d5d,0.205,65.22,0.86,1.19,29.33,68.63
5s 3s 2h,7d7c,1.000,60.49,0.81,1.14,43.57,54.48
5s 3s 2h,7d6d,0.165,31.11,0.29,0.92,60.13,38.66
5s 3s 2h,8d8c,1.000,62.02,0.60,1.13,40.52,57.75
5s 3s 2h,8d7d,0.180,21.18,0.11,0.27,0.54,99.07
5s 3s 2h,9d9c,1.000,64.55,0.49,1.58,34.71,63.22
5s 3s 2h,9d7d,0.010,22.49,0.12,0.29,0.57,99.02
5s 3s 2h,9d8d,0.375,22.73,0.28,0.68,1.63,97.41
