Flop,Hand,Weight OOP,OOP Equity
4s 4h 2d,3c2c,1.000,52.55
4s 4h 2d,4c2c,1.000,97.20
4s 4h 2d,4c3c,1.000,95.47
4s 4h 2d,5c2c,1.000,53.05
4s 4h 2d,5c3c,1.000,40.93
4s 4h 2d,5c4c,0.700,95.49
4s 4h 2d,5c4d,0.290,95.51
4s 4h 2d,6c3c,1.000,30.00
4s 4h 2d,6c4c,1.000,95.15
4s 4h 2d,6c5c,0.475,31.86
4s 4h 2d,6c5d,0.495,31.93
4s 4h 2d,6c5h,0.495,31.94
4s 4h 2d,6c5s,0.495,31.94
4s 4h 2d,7c3c,0.095,18.68
4s 4h 2d,7c4c,1.000,94.41
4s 4h 2d,7c5c,1.000,20.27
4s 4h 2d,7c6c,0.580,19.75
4s 4h 2d,7c6d,0.500,19.82
4s 4h 2d,7c6h,0.500,19.83
4s 4h 2d,7c6s,0.500,19.83
4s 4h 2d,8c4c,0.605,94.38
4s 4h 2d,8c5c,1.000,20.62
4s 4h 2d,8c6c,1.000,20.06
4s 4h 2d,8c7c,0.550,19.01
4s 4h 2d,8c6d,0.115,20.16
4s 4h 2d,8c7d,0.605,19.07
4s 4h 2d,8c6h,0.115,20.17
4s 4h 2d,8c7h,0.605,19.08
4s 4h 2d,8c6s,0.115,20.17
4s 4h 2d,8c7s,0.605,19.08
4s 4h 2d,9c2c,0.280,52.93
4s 4h 2d,9c3c,0.265,19.20
4s 4h 2d,9c5c,1.000,19.36
4s 4h 2d,9c6c,1.000,18.82
4s 4h 2d,9c7c,1.000,17.72
4s 4h 2d,9c8c,0.775,18.08
4s 4h 2d,9c7d,0.155,17.81
4s 4h 2d,9c8d,0.515,18.12
4s 4h 2d,9c7h,0.155,17.82
4s 4h 2d,9c8h,0.515,18.13
4s 4h 2d,9c7s,0.155,17.82
4s 4h 2d,9c8s,0.515,18.13
4s 4h 2d,Tc3c,0.265,19.70
4s 4h 2d,Tc4c,0.415,94.26
4s 4h 2d,Tc5c,0.530,19.89
4s 4h 2d,Tc6c,1.000,19.35
4s 4h 2d,Tc7c,1.000,18.27
4s 4h 2d,Tc8c,1.000,18.67
4s 4h 2d,Tc9c,0.620,19.15
4s 4h 2d,Tc8d,0.230,18.70
4s 4h 2d,Tc9d,0.845,19.11
4s 4h 2d,Tc8h,0.230,18.71
4s 4h 2d,Tc9h,0.845,19.12
4s 4h 2d,Tc8s,0.230,18.71
4s 4h 2d,Tc9s,0.845,19.12
4s 4h 2d,Jc2c,0.470,53.84
4s 4h 2d,Jc3c,0.700,20.90
4s 4h 2d,Jc4c,1.000,94.21
4s 4h 2d,Jc5c,1.000,21.13
4s 4h 2d,Jc6c,1.000,20.66
4s 4h 2d,Jc7c,1.000,19.63
4s 4h 2d,Jc8c,0.980,19.87
4s 4h 2d,Jc9c,0.950,20.32
4s 4h 2d,JcTc,0.655,21.01
4s 4h 2d,Jc9d,0.190,20.30
4s 4h 2d,JcTd,1.000,21.00
4s 4h 2d,Jc9h,0.190,20.31
4s 4h 2d,JcTh,1.000,21.01
4s 4h 2d,Jc9s,0.190,20.31
4s 4h 2d,JcTs,1.000,21.01
4s 4h 2d,Qc2c,1.000,54.56
4s 4h 2d,Qc3c,1.000,23.17
4s 4h 2d,Qc4c,1.000,94.19
4s 4h 2d,Qc5c,1.000,23.44
4s 4h 2d,Qc6c,0.925,23.04
4s 4h 2d,Qc7c,1.000,22.07
4s 4h 2d,Qc8c,0.880,22.34
4s 4h 2d,Qc9c,0.875,22.84
4s 4h 2d,QcTc,0.655,23.57
4s 4h 2d,QcJc,0.350,24.82
4s 4h 2d,QcTd,1.000,23.58
4s 4h 2d,QcJd,1.000,24.88
4s 4h 2d,QcTh,1.000,23.59
4s 4h 2d,QcJh,1.000,24.89
4s 4h 2d,QcTs,1.000,23.59
4s 4h 2d,QcJs,1.000,24.89
4s 4h 2d,Kc2c,1.000,55.65
4s 4h 2d,Kc3c,0.900,28.10
4s 4h 2d,Kc4c,0.690,94.11
4s 4h 2d,Kc5c,0.880,28.48
4s 4h 2d,Kc6c,0.935,28.32
4s 4h 2d,Kc7c,0.860,27.68
4s 4h 2d,Kc8c,1.000,28.36
4s 4h 2d,Kc9c,0.990,29.16
4s 4h 2d,KcTc,0.600,30.12
4s 4h 2d,KcJc,0.900,32.01
4s 4h 2d,KcQc,0.830,35.45
4s 4h 2d,Kc9d,0.320,29.22
4s 4h 2d,KcTd,1.000,30.19
4s 4h 2d,KcJd,0.830,32.13
4s 4h 2d,KcQd,0.760,35.61
4s 4h 2d,Kc9h,0.320,29.23
4s 4h 2d,KcTh,1.000,30.20
4s 4h 2d,KcJh,0.830,32.14
4s 4h 2d,KcQh,0.760,35.62
4s 4h 2d,Kc9s,0.320,29.23
4s 4h 2d,KcTs,1.000,30.20
4s 4h 2d,KcJs,0.830,32.14
4s 4h 2d,KcQs,0.760,35.62
4s 4h 2d,Ac2c,0.680,58.64
4s 4h 2d,Ac3c,0.755,48.86
4s 4h 2d,Ac4c,0.835,94.64
4s 4h 2d,Ac5c,0.810,49.59
4s 4h 2d,Ac6c,1.000,41.66
4s 4h 2d,Ac7c,0.970,42.24
4s 4h 2d,Ac8c,0.940,43.28
4s 4h 2d,Ac9c,0.925,44.49
4s 4h 2d,AcTc,0.825,46.64
4s 4h 2d,AcJc,0.745,50.33
4s 4h 2d,AcQc,0.475,54.59
4s 4h 2d,Ac5d,0.430,49.69
4s 4h 2d,Ac8d,0.465,43.38
4s 4h 2d,Ac9d,0.980,44.65
4s 4h 2d,AcTd,0.860,46.83
4s 4h 2d,AcJd,0.995,50.51
4s 4h 2d,AcQd,1.000,54.78
4s 4h 2d,AcKd,0.425,59.26
4s 4h 2d,Ac5h,0.430,49.68
4s 4h 2d,Ac8h,0.465,43.40
4s 4h 2d,Ac9h,0.980,44.66
4s 4h 2d,AcTh,0.860,46.84
4s 4h 2d,AcJh,0.995,50.52
4s 4h 2d,AcQh,1.000,54.79
4s 4h 2d,AcKh,0.425,59.27
4s 4h 2d,Ac5s,0.430,49.68
4s 4h 2d,Ac8s,0.465,43.40
4s 4h 2d,Ac9s,0.980,44.66
4s 4h 2d,AcTs,0.860,46.84
4s 4h 2d,AcJs,0.995,50.52
4s 4h 2d,AcQs,1.000,54.79
4s 4h 2d,AcKs,0.425,59.27
4s 4h 2d,3d3c,1.000,53.36
4s 4h 2d,4d4c,1.000,99.97
4s 4h 2d,4d3d,1.000,95.54
4s 4h 2d,5d4c,0.290,95.53
4s 4h 2d,5d5c,1.000,58.76
4s 4h 2d,5d3d,1.000,43.26
4s 4h 2d,5d4d,0.700,95.56
4s 4h 2d,6d5c,0.495,31.94
4s 4h 2d,6d6c,1.000,59.92
4s 4h 2d,6d3d,1.000,32.84
4s 4h 2d,6d4d,1.000,95.24
4s 4h 2d,6d5d,0.475,34.63
4s 4h 2d,6d5h,0.495,32.03
4s 4h 2d,6d5s,0.495,32.03
4s 4h 2d,7d6c,0.500,19.81
4s 4h 2d,7d7c,1.000,61.48
4s 4h 2d,7d3d,0.095,22.04
4s 4h 2d,7d4d,1.000,94.53
4s 4h 2d,7d5d,1.000,23.56
4s 4h 2d,7d6d,0.580,23.13
4s 4h 2d,7d6h,0.500,19.91
4s 4h 2d,7d6s,0.500,19.91
4s 4h 2d,8d6c,0.115,20.15
4s 4h 2d,8d7c,0.605,19.07
4s 4h 2d,8d8c,1.000,64.16
4s 4h 2d,8d4d,0.605,94.53
4s 4h 2d,8d5d,1.000,23.92
4s 4h 2d,8d6d,1.000,23.45
4s 4h 2d,8d7d,0.550,22.48
4s 4h 2d,8d6h,0.115,20.25
4s 4h 2d,8d7h,0.605,19.17
4s 4h 2d,8d6s,0.115,20.25
4s 4h 2d,8d7s,0.605,19.17
4s 4h 2d,9d7c,0.155,17.81
4s 4h 2d,9d8c,0.515,18.12
4s 4h 2d,9d9c,1.000,67.07
4s 4h 2d,9d3d,0.265,22.59
4s 4h 2d,9d5d,1.000,22.78
4s 4h 2d,9d6d,1.000,22.32
4s 4h 2d,9d7d,1.000,21.31
4s 4h 2d,9d8d,0.775,21.68
4s 4h 2d,9d7h,0.155,17.91
4s 4h 2d,9d8h,0.515,18.22
4s 4h 2d,9d7s,0.155,17.91
4s 4h 2d,9d8s,0.515,18.22
4s 4h 2d,Td8c,0.230,18.70
4s 4h 2d,Td9c,0.845,19.11
4s 4h 2d,TdTc,0.965,70.64
4s 4h 2d,Td3d,0.265,23.09
4s 4h 2d,Td4d,0.415,94.46
4s 4h 2d,Td5d,0.530,23.30
4s 4h 2d,Td6d,1.000,22.85
4s 4h 2d,Td7d,1.000,21.86
4s 4h 2d,Td8d,1.000,22.25
4s 4h 2d,Td9d,0.620,22.74
4s 4h 2d,Td8h,0.230,18.81
4s 4h 2d,Td9h,0.845,19.22
4s 4h 2d,Td8s,0.230,18.81
4s 4h 2d,Td9s,0.845,19.22
4s 4h 2d,Jd9c,0.190,20.28
4s 4h 2d,JdTc,1.000,20.99
4s 4h 2d,JdJc,0.870,75.03
4s 4h 2d,Jd3d,0.700,24.25
4s 4h 2d,Jd4d,1.000,94.42
4s 4h 2d,Jd5d,1.000,24.51
4s 4h 2d,Jd6d,1.000,24.12
4s 4h 2d,Jd7d,1.000,23.17
4s 4h 2d,Jd8d,0.980,23.42
4s 4h 2d,Jd9d,0.950,23.88
4s 4h 2d,JdTd,0.655,24.54
4s 4h 2d,Jd9h,0.190,20.41
4s 4h 2d,JdTh,1.000,21.12
4s 4h 2d,Jd9s,0.190,20.41
4s 4h 2d,JdTs,1.000,21.12
4s 4h 2d,QdTc,1.000,23.56
4s 4h 2d,QdJc,1.000,24.88
4s 4h 2d,QdQc,0.345,79.95
4s 4h 2d,Qd3d,1.000,26.48
4s 4h 2d,Qd4d,1.000,94.43
4s 4h 2d,Qd5d,1.000,26.77
4s 4h 2d,Qd6d,0.925,26.44
4s 4h 2d,Qd7d,1.000,25.56
4s 4h 2d,Qd8d,0.880,25.83
4s 4h 2d,Qd9d,0.875,26.33
4s 4h 2d,QdTd,0.655,27.03
4s 4h 2d,QdJd,0.350,28.23
4s 4h 2d,QdTh,1.000,23.71
4s 4h 2d,QdJh,1.000,25.03
4s 4h 2d,QdTs,1.000,23.71
4s 4h 2d,QdJs,1.000,25.03
4s 4h 2d,Kd9c,0.320,29.19
4s 4h 2d,KdTc,1.000,30.18
4s 4h 2d,KdJc,0.830,32.15
4s 4h 2d,KdQc,0.760,35.64
4s 4h 2d,Kd3d,0.900,31.29
4s 4h 2d,Kd4d,0.690,94.43
4s 4h 2d,Kd5d,0.880,31.68
4s 4h 2d,Kd6d,0.935,31.58
4s 4h 2d,Kd7d,0.860,31.01
4s 4h 2d,Kd8d,1.000,31.68
4s 4h 2d,Kd9d,0.990,32.46
4s 4h 2d,KdTd,0.600,33.39
4s 4h 2d,KdJd,0.900,35.19
4s 4h 2d,KdQd,0.830,38.46
4s 4h 2d,Kd9h,0.320,29.36
4s 4h 2d,KdTh,1.000,30.36
4s 4h 2d,KdJh,0.830,32.32
4s 4h 2d,KdQh,0.760,35.81
4s 4h 2d,Kd9s,0.320,29.36
4s 4h 2d,KdTs,1.000,30.36
4s 4h 2d,KdJs,0.830,32.32
4s 4h 2d,KdQs,0.760,35.81
4s 4h 2d,Ad5c,0.430,49.75
4s 4h 2d,Ad8c,0.465,43.41
4s 4h 2d,Ad9c,0.980,44.64
4s 4h 2d,AdTc,0.860,46.84
4s 4h 2d,AdJc,0.995,50.55
4s 4h 2d,AdQc,1.000,54.84
4s 4h 2d,AdKc,0.425,59.31
4s 4h 2d,Ad3d,0.755,51.26
4s 4h 2d,Ad4d,0.835,95.08
4s 4h 2d,Ad5d,0.810,52.00
4s 4h 2d,Ad6d,1.000,44.49
4s 4h 2d,Ad7d,0.970,45.07
4s 4h 2d,Ad8d,0.940,46.08
4s 4h 2d,Ad9d,0.925,47.27
4s 4h 2d,AdTd,0.825,49.33
4s 4h 2d,AdJd,0.745,52.83
4s 4h 2d,AdQd,0.475,56.88
4s 4h 2d,Ad5h,0.430,49.85
4s 4h 2d,Ad8h,0.465,43.55
4s 4h 2d,Ad9h,0.980,44.84
4s 4h 2d,AdTh,0.860,47.04
4s 4h 2d,AdJh,0.995,50.75
4s 4h 2d,AdQh,1.000,55.04
4s 4h 2d,AdKh,0.425,59.54
4s 4h 2d,Ad5s,0.430,49.85
4s 4h 2d,Ad8s,0.465,43.55
4s 4h 2d,Ad9s,0.980,44.84
4s 4h 2d,AdTs,0.860,47.04
4s 4h 2d,AdJs,0.995,50.75
4s 4h 2d,AdQs,1.000,55.04
4s 4h 2d,AdKs,0.425,59.54
4s 4h 2d,2h2c,1.000,93.70
4s 4h 2d,3h3c,1.000,53.37
4s 4h 2d,3h3d,1.000,53.38
4s 4h 2d,3h2h,1.000,54.52
4s 4h 2d,5h4c,0.290,95.51
4s 4h 2d,5h5c,1.000,58.74
4s 4h 2d,5h4d,0.290,95.51
4s 4h 2d,5h5d,1.000,58.76
4s 4h 2d,5h2h,1.000,54.99
4s 4h 2d,5h3h,1.000,43.44
4s 4h 2d,6h5c,0.495,31.95
4s 4h 2d,6h6c,1.000,59.93
4s 4h 2d,6h5d,0.495,32.04
4s 4h 2d,6h6d,1.000,59.96
4s 4h 2d,6h3h,1.000,33.13
4s 4h 2d,6h5h,0.475,34.91
4s 4h 2d,6h5s,0.495,32.04
4s 4h 2d,7h6c,0.500,19.83
4s 4h 2d,7h7c,1.000,61.49
4s 4h 2d,7h6d,0.500,19.92
4s 4h 2d,7h7d,1.000,61.52
4s 4h 2d,7h3h,0.095,22.38
4s 4h 2d,7h5h,1.000,23.90
4s 4h 2d,7h6h,0.580,23.47
4s 4h 2d,7h6s,0.500,19.93
4s 4h 2d,8h6c,0.115,20.16
4s 4h 2d,8h7c,0.605,19.08
4s 4h 2d,8h8c,1.000,64.17
4s 4h 2d,8h6d,0.115,20.26
4s 4h 2d,8h7d,0.605,19.17
4s 4h 2d,8h8d,1.000,64.22
4s 4h 2d,8h5h,1.000,24.25
4s 4h 2d,8h6h,1.000,23.79
4s 4h 2d,8h7h,0.550,22.82
4s 4h 2d,8h6s,0.115,20.27
4s 4h 2d,8h7s,0.605,19.18
4s 4h 2d,9h7c,0.155,17.82
4s 4h 2d,9h8c,0.515,18.13
4s 4h 2d,9h9c,1.000,67.09
4s 4h 2d,9h7d,0.155,17.91
4s 4h 2d,9h8d,0.515,18.22
4s 4h 2d,9h9d,1.000,67.19
4s 4h 2d,9h2h,0.280,55.06
4s 4h 2d,9h3h,0.265,22.92
4s 4h 2d,9h5h,1.000,23.10
4s 4h 2d,9h6h,1.000,22.65
4s 4h 2d,9h7h,1.000,21.64
4s 4h 2d,9h8h,0.775,22.01
4s 4h 2d,9h7s,0.155,17.93
4s 4h 2d,9h8s,0.515,18.23
4s 4h 2d,Th8c,0.230,18.71
4s 4h 2d,Th9c,0.845,19.12
4s 4h 2d,ThTc,0.965,70.66
4s 4h 2d,Th8d,0.230,18.81
4s 4h 2d,Th9d,0.845,19.22
4s 4h 2d,ThTd,0.965,70.76
4s 4h 2d,Th3h,0.265,23.42
4s 4h 2d,Th5h,0.530,23.62
4s 4h 2d,Th6h,1.000,23.18
4s 4h 2d,Th7h,1.000,22.18
4s 4h 2d,Th8h,1.000,22.58
4s 4h 2d,Th9h,0.620,23.07
4s 4h 2d,Th8s,0.230,18.82
4s 4h 2d,Th9s,0.845,19.24
4s 4h 2d,Jh9c,0.190,20.29
4s 4h 2d,JhTc,1.000,21.00
4s 4h 2d,JhJc,0.870,75.05
4s 4h 2d,Jh9d,0.190,20.41
4s 4h 2d,JhTd,1.000,21.12
4s 4h 2d,JhJd,0.870,75.14
4s 4h 2d,Jh2h,0.470,55.96
4s 4h 2d,Jh3h,0.700,24.59
4s 4h 2d,Jh5h,1.000,24.83
4s 4h 2d,Jh6h,1.000,24.45
4s 4h 2d,Jh7h,1.000,23.50
4s 4h 2d,Jh8h,0.980,23.75
4s 4h 2d,Jh9h,0.950,24.21
4s 4h 2d,JhTh,0.655,24.88
4s 4h 2d,Jh9s,0.190,20.42
4s 4h 2d,JhTs,1.000,21.13
4s 4h 2d,QhTc,1.000,23.57
4s 4h 2d,QhJc,1.000,24.89
4s 4h 2d,QhQc,0.345,79.97
4s 4h 2d,QhTd,1.000,23.71
4s 4h 2d,QhJd,1.000,25.02
4s 4h 2d,QhQd,0.345,80.06
4s 4h 2d,Qh2h,1.000,56.70
4s 4h 2d,Qh3h,1.000,26.81
4s 4h 2d,Qh5h,1.000,27.09
4s 4h 2d,Qh6h,0.925,26.78
4s 4h 2d,Qh7h,1.000,25.89
4s 4h 2d,Qh8h,0.880,26.16
4s 4h 2d,Qh9h,0.875,26.66
4s 4h 2d,QhTh,0.655,27.37
4s 4h 2d,QhJh,0.350,28.57
4s 4h 2d,QhTs,1.000,23.72
4s 4h 2d,QhJs,1.000,25.03
4s 4h 2d,Kh9c,0.320,29.20
4s 4h 2d,KhTc,1.000,30.19
4s 4h 2d,KhJc,0.830,32.15
4s 4h 2d,KhQc,0.760,35.64
4s 4h 2d,Kh9d,0.320,29.36
4s 4h 2d,KhTd,1.000,30.36
4s 4h 2d,KhJd,0.830,32.31
4s 4h 2d,KhQd,0.760,35.80
4s 4h 2d,Kh2h,1.000,57.84
4s 4h 2d,Kh3h,0.900,31.60
4s 4h 2d,Kh5h,0.880,31.98
4s 4h 2d,Kh6h,0.935,31.90
4s 4h 2d,Kh7h,0.860,31.33
4s 4h 2d,Kh8h,1.000,31.99
4s 4h 2d,Kh9h,0.990,32.78
4s 4h 2d,KhTh,0.600,33.71
4s 4h 2d,KhJh,0.900,35.53
4s 4h 2d,KhQh,0.830,38.84
4s 4h 2d,Kh9s,0.320,29.37
4s 4h 2d,KhTs,1.000,30.37
4s 4h 2d,KhJs,0.830,32.32
4s 4h 2d,KhQs,0.760,35.81
4s 4h 2d,Ah5c,0.430,49.58
4s 4h 2d,Ah8c,0.465,43.21
4s 4h 2d,Ah9c,0.980,44.44
4s 4h 2d,AhTc,0.860,46.61
4s 4h 2d,AhJc,0.995,50.30
4s 4h 2d,AhQc,1.000,54.56
4s 4h 2d,AhKc,0.425,58.99
4s 4h 2d,Ah5d,0.430,49.69
4s 4h 2d,Ah8d,0.465,43.35
4s 4h 2d,Ah9d,0.980,44.62
4s 4h 2d,AhTd,0.860,46.80
4s 4h 2d,AhJd,0.995,50.48
4s 4h 2d,AhQd,1.000,54.74
4s 4h 2d,AhKd,0.425,59.21
4s 4h 2d,Ah2h,0.680,60.63
4s 4h 2d,Ah3h,0.755,51.30
4s 4h 2d,Ah5h,0.810,52.01
4s 4h 2d,Ah6h,1.000,44.55
4s 4h 2d,Ah7h,0.970,45.12
4s 4h 2d,Ah8h,0.940,46.14
4s 4h 2d,Ah9h,0.925,47.32
4s 4h 2d,AhTh,0.825,49.38
4s 4h 2d,AhJh,0.745,52.89
4s 4h 2d,AhQh,0.475,56.97
4s 4h 2d,Ah5s,0.430,49.68
4s 4h 2d,Ah8s,0.465,43.36
4s 4h 2d,Ah9s,0.980,44.63
4s 4h 2d,AhTs,0.860,46.81
4s 4h 2d,AhJs,0.995,50.49
4s 4h 2d,AhQs,1.000,54.75
4s 4h 2d,AhKs,0.425,59.22
4s 4h 2d,2s2c,1.000,93.70
4s 4h 2d,2s2h,1.000,93.70
4s 4h 2d,3s3c,1.000,53.37
4s 4h 2d,3s3d,1.000,53.38
4s 4h 2d,3s3h,1.000,53.38
4s 4h 2d,3s2s,1.000,54.52
4s 4h 2d,5s4c,0.290,95.51
4s 4h 2d,5s5c,1.000,58.74
4s 4h 2d,5s4d,0.290,95.51
4s 4h 2d,5s5d,1.000,58.76
4s 4h 2d,5s5h,1.000,58.74
4s 4h 2d,5s2s,1.000,54.99
4s 4h 2d,5s3s,1.000,43.44
4s 4h 2d,6s5c,0.495,31.95
4s 4h 2d,6s6c,1.000,59.93
4s 4h 2d,6s5d,0.495,32.04
4s 4h 2d,6s6d,1.000,59.96
4s 4h 2d,6s5h,0.495,32.04
4s 4h 2d,6s6h,1.000,59.96
4s 4h 2d,6s3s,1.000,33.13
4s 4h 2d,6s5s,0.475,34.91
4s 4h 2d,7s6c,0.500,19.83
4s 4h 2d,7s7c,1.000,61.49
4s 4h 2d,7s6d,0.500,19.92
4s 4h 2d,7s7d,1.000,61.52
4s 4h 2d,7s6h,0.500,19.93
4s 4h 2d,7s7h,1.000,61.53
4s 4h 2d,7s3s,0.095,22.38
4s 4h 2d,7s5s,1.000,23.90
4s 4h 2d,7s6s,0.580,23.47
4s 4h 2d,8s6c,0.115,20.16
4s 4h 2d,8s7c,0.605,19.08
4s 4h 2d,8s8c,1.000,64.17
4s 4h 2d,8s6d,0.115,20.26
4s 4h 2d,8s7d,0.605,19.17
4s 4h 2d,8s8d,1.000,64.22
4s 4h 2d,8s6h,0.115,20.27
4s 4h 2d,8s7h,0.605,19.18
4s 4h 2d,8s8h,1.000,64.23
4s 4h 2d,8s5s,1.000,24.25
4s 4h 2d,8s6s,1.000,23.79
4s 4h 2d,8s7s,0.550,22.82
4s 4h 2d,9s7c,0.155,17.82
4s 4h 2d,9s8c,0.515,18.13
4s 4h 2d,9s9c,1.000,67.09
4s 4h 2d,9s7d,0.155,17.91
4s 4h 2d,9s8d,0.515,18.22
4s 4h 2d,9s9d,1.000,67.19
4s 4h 2d,9s7h,0.155,17.93
4s 4h 2d,9s8h,0.515,18.23
4s 4h 2d,9s9h,1.000,67.21
4s 4h 2d,9s2s,0.280,55.06
4s 4h 2d,9s3s,0.265,22.92
4s 4h 2d,9s5s,1.000,23.10
4s 4h 2d,9s6s,1.000,22.65
4s 4h 2d,9s7s,1.000,21.64
4s 4h 2d,9s8s,0.775,22.01
4s 4h 2d,Ts8c,0.230,18.71
4s 4h 2d,Ts9c,0.845,19.12
4s 4h 2d,TsTc,0.965,70.66
4s 4h 2d,Ts8d,0.230,18.81
4s 4h 2d,Ts9d,0.845,19.22
4s 4h 2d,TsTd,0.965,70.76
4s 4h 2d,Ts8h,0.230,18.82
4s 4h 2d,Ts9h,0.845,19.24
4s 4h 2d,TsTh,0.965,70.78
4s 4h 2d,Ts3s,0.265,23.42
4s 4h 2d,Ts5s,0.530,23.62
4s 4h 2d,Ts6s,1.000,23.18
4s 4h 2d,Ts7s,1.000,22.18
4s 4h 2d,Ts8s,1.000,22.58
4s 4h 2d,Ts9s,0.620,23.07
4s 4h 2d,Js9c,0.190,20.29
4s 4h 2d,JsTc,1.000,21.00
4s 4h 2d,JsJc,0.870,75.05
4s 4h 2d,Js9d,0.190,20.41
4s 4h 2d,JsTd,1.000,21.12
4s 4h 2d,JsJd,0.870,75.14
4s 4h 2d,Js9h,0.190,20.42
4s 4h 2d,JsTh,1.000,21.13
4s 4h 2d,JsJh,0.870,75.17
4s 4h 2d,Js2s,0.470,55.96
4s 4h 2d,Js3s,0.700,24.59
4s 4h 2d,Js5s,1.000,24.83
4s 4h 2d,Js6s,1.000,24.45
4s 4h 2d,Js7s,1.000,23.50
4s 4h 2d,Js8s,0.980,23.75
4s 4h 2d,Js9s,0.950,24.21
4s 4h 2d,JsTs,0.655,24.88
4s 4h 2d,QsTc,1.000,23.57
4s 4h 2d,QsJc,1.000,24.89
4s 4h 2d,QsQc,0.345,79.97
4s 4h 2d,QsTd,1.000,23.71
4s 4h 2d,QsJd,1.000,25.02
4s 4h 2d,QsQd,0.345,80.06
4s 4h 2d,QsTh,1.000,23.72
4s 4h 2d,QsJh,1.000,25.03
4s 4h 2d,QsQh,0.345,80.09
4s 4h 2d,Qs2s,1.000,56.70
4s 4h 2d,Qs3s,1.000,26.81
4s 4h 2d,Qs5s,1.000,27.09
4s 4h 2d,Qs6s,0.925,26.78
4s 4h 2d,Qs7s,1.000,25.89
4s 4h 2d,Qs8s,0.880,26.16
4s 4h 2d,Qs9s,0.875,26.66
4s 4h 2d,QsTs,0.655,27.37
4s 4h 2d,QsJs,0.350,28.57
4s 4h 2d,Ks9c,0.320,29.20
4s 4h 2d,KsTc,1.000,30.19
4s 4h 2d,KsJc,0.830,32.15
4s 4h 2d,KsQc,0.760,35.64
4s 4h 2d,Ks9d,0.320,29.36
4s 4h 2d,KsTd,1.000,30.36
4s 4h 2d,KsJd,0.830,32.31
4s 4h 2d,KsQd,0.760,35.80
4s 4h 2d,Ks9h,0.320,29.37
4s 4h 2d,KsTh,1.000,30.37
4s 4h 2d,KsJh,0.830,32.32
4s 4h 2d,KsQh,0.760,35.81
4s 4h 2d,Ks2s,1.000,57.84
4s 4h 2d,Ks3s,0.900,31.60
4s 4h 2d,Ks5s,0.880,31.98
4s 4h 2d,Ks6s,0.935,31.90
4s 4h 2d,Ks7s,0.860,31.33
4s 4h 2d,Ks8s,1.000,31.99
4s 4h 2d,Ks9s,0.990,32.78
4s 4h 2d,KsTs,0.600,33.71
4s 4h 2d,KsJs,0.900,35.53
4s 4h 2d,KsQs,0.830,38.84
4s 4h 2d,As5c,0.430,49.58
4s 4h 2d,As8c,0.465,43.21
4s 4h 2d,As9c,0.980,44.44
4s 4h 2d,AsTc,0.860,46.61
4s 4h 2d,AsJc,0.995,50.30
4s 4h 2d,AsQc,1.000,54.56
4s 4h 2d,AsKc,0.425,58.99
4s 4h 2d,As5d,0.430,49.69
4s 4h 2d,As8d,0.465,43.35
4s 4h 2d,As9d,0.980,44.62
4s 4h 2d,AsTd,0.860,46.80
4s 4h 2d,AsJd,0.995,50.48
4s 4h 2d,AsQd,1.000,54.74
4s 4h 2d,AsKd,0.425,59.21
4s 4h 2d,As5h,0.430,49.68
4s 4h 2d,As8h,0.465,43.36
4s 4h 2d,As9h,0.980,44.63
4s 4h 2d,AsTh,0.860,46.81
4s 4h 2d,AsJh,0.995,50.49
4s 4h 2d,AsQh,1.000,54.75
4s 4h 2d,AsKh,0.425,59.22
4s 4h 2d,As2s,0.680,60.63
4s 4h 2d,As3s,0.755,51.30
4s 4h 2d,As5s,0.810,52.01
4s 4h 2d,As6s,1.000,44.55
4s 4h 2d,As7s,0.970,45.12
4s 4h 2d,As8s,0.940,46.14
4s 4h 2d,As9s,0.925,47.32
4s 4h 2d,AsTs,0.825,49.38
4s 4h 2d,AsJs,0.745,52.89
4s 4h 2d,AsQs,0.475,56.97
5s 3s 2h,3c2c,1.000,76.63
5s 3s 2h,4c2c,1.000,62.93
5s 3s 2h,4c3c,1.000,63.73
5s 3s 2h,5c2c,1.000,77.29
5s 3s 2h,5c3c,1.000,77.30
5s 3s 2h,5c4c,0.700,64.92
5s 3s 2h,5c4d,0.290,64.92
5s 3s 2h,5c4h,0.290,64.97
5s 3s 2h,5c4s,0.290,66.25
5s 3s 2h,6c3c,1.000,59.87
5s 3s 2h,6c4c,1.000,92.27
5s 3s 2h,6c5c,0.475,61.47
5s 3s 2h,6c5d,0.495,61.48
5s 3s 2h,6c5h,0.495,61.56
5s 3s 2h,7c3c,0.095,50.87
5s 3s 2h,7c4c,1.000,36.77
5s 3s 2h,7c5c,1.000,52.40
5s 3s 2h,7c6c,0.580,30.13
5s 3s 2h,7c6d,0.500,30.11
5s 3s 2h,7c6h,0.500,30.22
5s 3s 2h,7c6s,0.500,32.66
5s 3s 2h,8c4c,0.605,36.35
5s 3s 2h,8c5c,1.000,51.70
5s 3s 2h,8c6c,1.000,29.57
5s 3s 2h,8c7c,0.550,17.79
5s 3s 2h,8c6d,0.115,29.57
5s 3s 2h,8c7d,0.605,17.77
5s 3s 2h,8c6h,0.115,29.66
5s 3s 2h,8c7h,0.605,17.87
5s 3s 2h,8c6s,0.115,32.07
5s 3s 2h,8c7s,0.605,20.73
5s 3s 2h,9c2c,0.280,49.35
5s 3s 2h,9c3c,0.265,50.19
5s 3s 2h,9c5c,1.000,51.78
